movieId,title,genres,rating,popularity,year,decade
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.89480173441017,60424,1995.0,1990.0
2,Jumanji (1995),Adventure|Children|Fantasy,3.22108559498956,23950,1995.0,1990.0
3,Grumpier Old Men (1995),Comedy|Romance,3.18009432108469,15267,1995.0,1990.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.87972742759796,2935,1995.0,1990.0
5,Father of the Bride Part II (1995),Comedy,3.08081115850768,14769,1995.0,1990.0
6,Heat (1995),Action|Crime|Thriller,3.83653593050803,26593,1995.0,1990.0
7,Sabrina (1995),Comedy|Romance,3.37336656338408,14846,1995.0,1990.0
8,Tom and Huck (1995),Adventure|Children,3.13966101694915,1475,1995.0,1990.0
9,Sudden Death (1995),Action,3.01524601524602,4329,1995.0,1990.0
10,GoldenEye (1995),Action|Adventure|Thriller,3.43688809516216,31357,1995.0,1990.0
11,"American President, The (1995)",Comedy|Drama|Romance,3.66412433820831,19077,1995.0,1990.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.67086414048059,4328,1995.0,1990.0
13,Balto (1995),Adventure|Animation|Children,3.29763349514563,1648,1995.0,1990.0
14,Nixon (1995),Drama,3.43133333333333,6750,1995.0,1990.0
15,Cutthroat Island (1995),Action|Adventure|Romance,2.72827882391807,3027,1995.0,1990.0
16,Casino (1995),Crime|Drama,3.78511264985531,19352,1995.0,1990.0
17,Sense and Sensibility (1995),Drama|Romance,3.95750021091707,23706,1995.0,1990.0
18,Four Rooms (1995),Comedy,3.40200657325722,5781,1995.0,1990.0
19,Ace Ventura: When Nature Calls (1995),Comedy,2.62263408663723,22877,1995.0,1990.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.89926942661058,4517,1995.0,1990.0
21,Get Shorty (1995),Comedy|Crime|Thriller,3.57724434191162,25141,1995.0,1990.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.30221956161356,10858,1995.0,1990.0
23,Assassins (1995),Action|Crime|Thriller,3.16123813632442,4636,1995.0,1990.0
24,Powder (1995),Drama|Sci-Fi,3.18342269883825,8952,1995.0,1990.0
25,Leaving Las Vegas (1995),Drama|Romance,3.67187306565427,24233,1995.0,1990.0
26,Othello (1995),Drama,3.6200067136623,2979,1995.0,1990.0
27,Now and Then (1995),Children|Drama,3.42249580302182,1787,1995.0,1990.0
28,Persuasion (1995),Drama|Romance,4.04829034193161,3334,1995.0,1990.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.92342809711558,9638,1995.0,1990.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.64668652271035,1343,1995.0,1990.0
31,Dangerous Minds (1995),Drama,3.24253863918991,11258,1995.0,1990.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.88652242953553,50380,1995.0,1990.0
34,Babe (1995),Children|Drama,3.6377692534671,33890,1995.0,1990.0
35,Carrington (1995),Drama|Romance,3.50740025740026,1554,1995.0,1990.0
36,Dead Man Walking (1995),Crime|Drama,3.9389139300279,23295,1995.0,1990.0
38,It Takes Two (1995),Children|Comedy,2.87619808306709,626,1995.0,1990.0
39,Clueless (1995),Comedy|Romance,3.41218249889884,27244,1995.0,1990.0
40,"Cry, the Beloved Country (1995)",Drama,3.65635005336179,937,1995.0,1990.0
41,Richard III (1995),Drama|War,3.85323383084577,5025,1995.0,1990.0
42,Dead Presidents (1995),Action|Crime|Drama,3.05296194586112,2549,1995.0,1990.0
43,Restoration (1995),Drama,3.47167300380228,2630,1995.0,1990.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.62409383399853,12277,1995.0,1990.0
45,To Die For (1995),Comedy|Drama|Thriller,3.37481497145274,9458,1995.0,1990.0
46,How to Make an American Quilt (1995),Drama|Romance,3.27263094156827,3303,1995.0,1990.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.06272307369305,47630,1995.0,1990.0
